sample_index,phase,capture_accepted,accept_reject_reason,target_label,command_target_id,command_target_index,commanded_cable_displacement_mm,target_cable_deltas_ticks,resolved_servo_goal_ticks,servo_positions_before_command,servo_positions_after_command,raw_tracker_translation_mm,robot_tip_translation_mm,tracker_stale_age_s,tracker_frame_number,runtime_tip_mode,runtime_tip_trust_level,runtime_telemetry_ok,runtime_telemetry_failure_code
217,repeat,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.0,579096,,,True,
218,approach,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.0,580776,,,True,
219,repeat,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.0,582464,,,True,
220,approach,True,ok,T02,,,,"[-184,-184,184,184]",,,,,,0.03690987097797915,584160,,,True,
221,repeat,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.024414298008196056,585840,,,True,
222,approach,True,ok,T10,,,,"[-369,-369,369,369]",,,,,,0.0,587520,,,True,
223,repeat,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.0,589192,,,True,
224,approach,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.0371001290041022,590856,,,True,
225,repeat,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.03809069801354781,592544,,,True,
226,approach,True,ok,T01,,,,"[-261,0,261,0]",,,,,,0.0,594224,,,True,
227,repeat,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.0,595928,,,True,
228,approach,True,ok,T05,,,,"[261,0,-261,0]",,,,,,0.03543602500576526,597600,,,True,
229,repeat,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.03736451599979773,599304,,,True,
230,approach,True,ok,T08,,,,"[-184,184,184,-184]",,,,,,0.0,600992,,,True,
231,repeat,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.038779622002039105,602672,,,True,
232,approach,True,ok,T11,,,,"[0,-522,0,522]",,,,,,0.0,604376,,,True,
233,repeat,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.0,606040,,,True,
234,approach,True,ok,T02,,,,"[-184,-184,184,184]",,,,,,0.0,607728,,,True,
235,repeat,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.03785958798835054,609432,,,True,
236,approach,True,ok,T15,,,,"[0,522,0,-522]",,,,,,0.0,611136,,,True,
237,repeat,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.0,612816,,,True,
238,approach,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.0,614496,,,True,
239,repeat,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.0,616200,,,True,
240,approach,True,ok,T10,,,,"[-369,-369,369,369]",,,,,,0.038794249994680285,617864,,,True,
241,repeat,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.0,619568,,,True,
242,approach,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.0,621232,,,True,
243,repeat,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.0,622904,,,True,
244,approach,True,ok,T16,,,,"[-369,369,369,-369]",,,,,,0.037138072977541015,624592,,,True,
245,repeat,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.0,626256,,,True,
246,approach,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.0,627952,,,True,
247,repeat,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.0,629624,,,True,
248,approach,True,ok,T09,,,,"[-522,0,522,0]",,,,,,0.03702550000161864,631288,,,True,
249,repeat,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.0,633000,,,True,
250,approach,True,ok,T12,,,,"[369,-369,-369,369]",,,,,,0.0,634664,,,True,
251,repeat,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.0,636352,,,True,
252,approach,True,ok,T14,,,,"[369,369,-369,-369]",,,,,,0.03694690699921921,638048,,,True,
253,repeat,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.0,639728,,,True,
254,approach,True,ok,T13,,,,"[522,0,-522,0]",,,,,,0.0,641400,,,True,
255,repeat,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.0,643088,,,True,
256,approach,True,ok,T13,,,,"[522,0,-522,0]",,,,,,0.0371137399924919,644744,,,True,
257,repeat,True,ok,T08,,,,"[-184,184,184,-184]",,,,,,0.0,646448,,,True,
258,approach,True,ok,T12,,,,"[369,-369,-369,369]",,,,,,0.0,648144,,,True,
259,repeat,True,ok,T08,,,,"[-184,184,184,-184]",,,,,,0.0,649808,,,True,
260,approach,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.0,651472,,,True,
261,repeat,True,ok,T08,,,,"[-184,184,184,-184]",,,,,,0.0,653144,,,True,
262,approach,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.0,654792,,,True,
263,repeat,True,ok,T08,,,,"[-184,184,184,-184]",,,,,,0.03799249601433985,656480,,,True,
264,approach,True,ok,T16,,,,"[-369,369,369,-369]",,,,,,0.0,658176,,,True,
265,repeat,True,ok,T08,,,,"[-184,184,184,-184]",,,,,,0.0,659872,,,True,
266,approach,True,ok,T11,,,,"[0,-522,0,522]",,,,,,0.03812416098662652,661544,,,True,
267,repeat,True,ok,T08,,,,"[-184,184,184,-184]",,,,,,0.0,663248,,,True,
268,approach,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.03740472000208683,664944,,,True,
269,repeat,True,ok,T08,,,,"[-184,184,184,-184]",,,,,,0.0,666640,,,True,
270,approach,True,ok,T09,,,,"[-522,0,522,0]",,,,,,0.0,668296,,,True,
271,repeat,True,ok,T08,,,,"[-184,184,184,-184]",,,,,,0.0,669976,,,True,
272,approach,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.0370408890012186,671664,,,True,
273,repeat,True,ok,T08,,,,"[-184,184,184,-184]",,,,,,0.0,673368,,,True,
274,approach,True,ok,T15,,,,"[0,522,0,-522]",,,,,,0.0,675040,,,True,
275,repeat,True,ok,T08,,,,"[-184,184,184,-184]",,,,,,0.0,676704,,,True,
276,approach,True,ok,T14,,,,"[369,369,-369,-369]",,,,,,0.037063555006170645,678392,,,True,
277,repeat,True,ok,T08,,,,"[-184,184,184,-184]",,,,,,0.03989428299246356,680080,,,True,
278,approach,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.0,681776,,,True,
279,repeat,True,ok,T08,,,,"[-184,184,184,-184]",,,,,,0.0,683480,,,True,
280,approach,True,ok,T01,,,,"[-261,0,261,0]",,,,,,0.0,685176,,,True,
281,repeat,True,ok,T08,,,,"[-184,184,184,-184]",,,,,,0.0,686840,,,True,
