tool_id,qw,qx,qy,qz,x,y,z
0B,0.588755243,-0.361933960,0.586154999,-0.422839675,80.370000000,11.030000000,-262.980000000
0B,0.587181219,-0.362550148,0.590481675,-0.418457881,80.370000000,11.050000000,-262.900000000
0B,0.586236017,-0.363622340,0.592336391,-0.416225572,80.360000000,11.090000000,-262.730000000
0B,0.585553232,-0.364733158,0.596354214,-0.410437312,80.320000000,11.240000000,-262.800000000
0B,0.584558637,-0.366836797,0.598160001,-0.407340860,80.210000000,10.910000000,-262.390000000
0B,0.584852110,-0.366332640,0.598253304,-0.407236284,80.270000000,11.140000000,-262.500000000
0B,0.584151904,-0.364732408,0.597453086,-0.410836504,80.270000000,11.150000000,-262.490000000
0B,0.583552131,-0.363532476,0.597253355,-0.413036898,80.240000000,11.080000000,-262.540000000
0B,0.583069760,-0.359142969,0.596471363,-0.418650088,80.450000000,11.260000000,-262.660000000
0B,0.581856844,-0.355334714,0.595558183,-0.424841505,80.620000000,11.330000000,-262.820000000
0B,0.579823675,-0.354514475,0.595324308,-0.428617501,80.480000000,11.510000000,-262.650000000
0B,0.579463104,-0.354938653,0.597265043,-0.426046397,80.470000000,11.550000000,-262.750000000
0B,0.577839014,-0.360024308,0.599840500,-0.420328379,80.290000000,11.390000000,-262.430000000
0B,0.578355953,-0.363135131,0.603958430,-0.410939756,80.270000000,11.280000000,-262.260000000
0B,0.578059248,-0.365537466,0.605162026,-0.407441761,80.190000000,11.290000000,-262.040000000
0B,0.577729971,-0.368619123,0.606831480,-0.402620887,80.150000000,11.110000000,-262.020000000
0B,0.577943619,-0.369827912,0.606945808,-0.401030267,80.220000000,11.130000000,-261.960000000
0B,0.577464122,-0.370041090,0.606667365,-0.401944632,80.160000000,11.070000000,-261.980000000
0B,0.577543069,-0.369427549,0.606445224,-0.402730033,80.240000000,11.190000000,-262.030000000
0B,0.577636424,-0.369623307,0.606638253,-0.402125357,80.160000000,11.200000000,-262.090000000
0B,0.577475498,-0.370048380,0.606779329,-0.401752525,80.170000000,11.170000000,-262.070000000
0B,0.577180084,-0.372951747,0.607784330,-0.397955216,80.050000000,11.100000000,-261.930000000
0B,0.577138378,-0.374224885,0.608040433,-0.396426361,80.020000000,10.970000000,-261.870000000
0B,0.578067600,-0.373443671,0.608471156,-0.395146209,80.030000000,10.990000000,-261.930000000
0B,0.578077103,-0.373549824,0.607481025,-0.396552892,80.050000000,10.960000000,-261.920000000
