tool_id,qw,qx,qy,qz,x,y,z
0B,0.106911405,0.689473550,-0.336235868,0.632567480,80.920000000,6.740000000,-173.600000000
0B,0.107907915,0.707351886,-0.331624326,0.614845101,80.960000000,6.550000000,-172.730000000
0B,0.098311817,0.735888452,-0.315337903,0.591071045,80.930000000,5.780000000,-171.480000000
0B,0.092504209,0.745533923,-0.306513947,0.584526597,80.940000000,5.410000000,-171.150000000
0B,0.077405717,0.763256376,-0.285821112,0.574242415,80.870000000,4.490000000,-170.650000000
0B,0.054703374,0.780248131,-0.261516132,0.565534886,80.800000000,3.300000000,-170.160000000
0B,0.002200172,0.798462390,-0.232718184,0.555243386,80.740000000,1.220000000,-169.940000000
0B,0.014801563,-0.801784661,0.223723623,-0.553958493,80.770000000,0.570000000,-170.040000000
0B,0.067404855,-0.800557666,0.213815402,-0.555740031,80.820000000,-0.960000000,-170.810000000
0B,0.078808302,-0.796783934,0.210622187,-0.560859081,80.780000000,-1.300000000,-171.220000000
0B,0.099507761,-0.787461420,0.204015913,-0.573044696,80.700000000,-1.810000000,-172.040000000
0B,0.117207374,-0.772948632,0.203412798,-0.589437086,80.510000000,-2.280000000,-173.080000000
0B,0.139014075,-0.744975429,0.208121072,-0.618362609,80.160000000,-2.490000000,-174.850000000
0B,0.146516382,-0.734382112,0.211823684,-0.627970214,80.100000000,-2.480000000,-175.510000000
0B,0.170312550,-0.697351386,0.231317045,-0.656648387,79.870000000,-2.410000000,-177.370000000
0B,0.175413129,-0.684351222,0.237917808,-0.666549890,79.820000000,-2.220000000,-177.970000000
0B,0.173110736,-0.646440090,0.255815865,-0.697643266,79.800000000,-1.220000000,-179.670000000
0B,0.165115246,-0.634658601,0.261624157,-0.708165388,79.770000000,-0.940000000,-180.100000000
0B,0.119407734,-0.598538766,0.290518816,-0.736947730,79.950000000,1.230000000,-181.070000000
0B,0.076009903,-0.587876594,0.312440707,-0.742296713,80.130000000,2.900000000,-180.800000000
0B,0.060308773,-0.586185276,0.319646501,-0.742007944,80.130000000,3.230000000,-180.510000000
0B,0.010500948,-0.582552586,0.341130794,-0.737666588,80.450000000,5.020000000,-179.940000000
0B,0.006300573,0.583653086,-0.346431509,0.734366794,80.540000000,5.480000000,-179.600000000
0B,0.042805200,0.595672361,-0.359543676,0.716987098,80.840000000,6.590000000,-178.650000000
0B,0.051802174,0.603425320,-0.360815140,0.709229760,80.780000000,6.550000000,-178.000000000
0B,0.061107059,0.632873107,-0.359741556,0.682878884,80.710000000,6.540000000,-176.460000000
0B,0.060205846,0.642962428,-0.358434802,0.674165458,80.590000000,6.400000000,-175.940000000
0B,0.053207521,0.670394757,-0.349649421,0.652292198,80.460000000,5.780000000,-174.790000000
0B,0.050005031,0.677868204,-0.346334847,0.646565054,80.380000000,5.580000000,-174.400000000
0B,0.038302604,0.696647353,-0.334422731,0.633543063,80.230000000,4.770000000,-173.810000000
0B,0.033801423,0.701829544,-0.330313905,0.630226530,80.200000000,4.570000000,-173.530000000
0B,0.017702367,0.715795712,-0.317542460,0.621683128,80.120000000,3.790000000,-173.300000000
0B,0.011300883,0.720356294,-0.313224478,0.618748354,80.050000000,3.520000000,-173.130000000
0B,0.009301244,-0.729197504,0.304840761,-0.612581911,79.990000000,2.670000000,-173.080000000
0B,0.021402726,-0.733893471,0.299538150,-0.609277599,79.940000000,2.200000000,-172.950000000
0B,0.034803102,-0.738965867,0.294326234,-0.605053931,79.960000000,1.740000000,-172.920000000
